,Unnamed: 0,movie,lifetime_collection,opening_day,end_of_opening_weekend,end_of_week_1,end_of_week_2,end_of_week_3,end_of_week_4,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_15,day_18,day_19,day_22,day_29,day_14,day_16,day_17,day_20,day_21,day_23,day_24,day_25,day_26,day_27,day_28,day_30,end_of_opening_week,year
398,591,Kabir Singh,278.24,20.21,70.83,134.42,213.2,249.6,266.26,20.21,22.71,27.91,17.54,16.53,15.91,13.61,12.21,17.1,17.84,9.07,8.31,7.53,5.4,4.25,3.2,2.54,1.03,6.72,7.51,9.61,3.11,3.32,3.75,4.05,1.65,1.6,1.55,1.52,1.65,0,0.0
399,592,Kaccha Limboo,0.06,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
400,597,Kadvi Hawa,0.25,0.04,0.15,0.23,0.25,0.0,0.0,0.04,0.05,0.06,0.08,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
401,598,Kahin Hai Mera Pyar,0.07,,,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
402,600,Kaisi Ye Paheli,0.08,,,0.08,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
403,601,Kajarya,0.04,,,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2015.0
404,602,Kajraare,0.01,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2010.0
405,607,Kalki 2898 AD,294.25,22.5,112.15,163.25,233.2,267.65,281.35,22.5,23.25,26.25,40.15,16.5,13.0,11.5,10.1,9.75,17.5,22.0,6.75,5.15,4.5,9.75,3.0,2.25,0.85,4.3,4.25,7.95,3.0,4.25,1.47,3.51,4.77,1.0,1.1,1.0,0.67,0,0.0
406,611,Kanguva,12.62,3.0,9.0,11.5,12.62,0.0,0.0,3.0,2.0,2.0,2.0,0.7,0.6,0.6,0.6,0.2,0.2,0.3,0.12,0.11,0.09,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2024.0
407,614,Kantara,79.25,1.27,7.52,15.0,31.7,51.65,69.75,1.27,2.75,3.5,1.75,1.88,1.95,1.9,2.05,2.55,2.65,1.9,2.35,2.6,2.75,2.3,2.3,2.1,1.25,2.6,4.1,4.4,2.05,2.05,4.15,4.5,2.0,2.6,1.5,1.25,2.3,0,2022.0
